study,setting,arch,draft,target,ctx,batch,method,gamma,alpha,tpot,throughput,speedup
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,16,spec,8,0.9,0.0017434250671242,9177.337358348052,2.460976817807766
batch_ratio,gpt3_6.7b->gpt3_30b,kv_buffer,gpt3_6.7b,gpt3_30b,2048,32,baseline,0,0.0,0.0025669091691895,12466.354627617487,1.0
batch_ratio,gpt3_6.7b->gpt3_30b,kv_buffer,gpt3_6.7b,gpt3_30b,2048,32,spec,4,0.8,0.0022449289814647,14254.348473474136,1.1434255561682476
batch_ratio,gpt3_1.3b->gpt3_13b,kv_buffer,gpt3_1.3b,gpt3_13b,2048,128,baseline,0,0.0,0.0049772922402553,25716.7941566223,1.0
batch_ratio,gpt3_1.3b->gpt3_13b,kv_buffer,gpt3_1.3b,gpt3_13b,2048,128,spec,4,0.8,0.0037871941558133,33798.10876701985,1.3142426914171388
batch_ratio,gpt3_6.7b->gpt3_175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,512,baseline,0,0.0,0.0460495826009719,11118.45039805407,1.0
batch_ratio,gpt3_6.7b->gpt3_175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,512,spec,4,0.8,0.0347234583820137,14745.0750546555,1.326180765013455
batch_bw,tpu_v4,hier,gpt3_6.7b,gpt3_175b,2048,2,baseline,0,0.0,0.0031184772913235,641.3386448458534,1.0
batch_bw,tpu_v4,hier,gpt3_6.7b,gpt3_175b,2048,2,spec,4,0.8,0.001387337364048,1441.6104199517142,2.2478146787773987
batch_bw,tpu_v8,hier,gpt3_6.7b,gpt3_175b,2048,8,baseline,0,0.0,0.0010010875931243,7991.308707595149,1.0
batch_bw,tpu_v8,hier,gpt3_6.7b,gpt3_175b,2048,8,spec,4,0.8,0.0005385634354981,14854.331862688892,1.8588109164861752
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,baseline,0,0.0,0.0056300162507341,5683.820183614464,1.0
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,1,0.6,0.0042815423769049,7473.94214118054,1.3149504909966554
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,1,0.7,0.0040296869429693,7941.063525004322,1.397134896683946
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,1,0.8,0.0038058154461377,8408.184908828107,1.4793193023712372
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,1,0.9,0.0036055093700251,8875.30629265189,1.561503708058528
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,2,0.6,0.0041463198289831,7717.687327522885,1.357834533501206
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,2,0.7,0.0037108615821036,8623.334309834245,1.5171722593712451
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,2,0.8,0.003330650354429,9607.733203650938,1.6903654396647665
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,2,0.9,0.0029988143412571,10670.884008972967,1.877414074381769
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,4,0.6,0.0046320023553669,6908.459354067995,1.215460575966841
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,4,0.7,0.0038511213553546,8309.268144849912,1.461916083975385
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,4,0.8,0.0031769230814297,10072.63921089303,1.7721600764096697
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,4,0.9,0.0026078837221396,12270.485730761558,2.158844814643396
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,8,0.6,0.006378496794844,5016.856013138801,0.8826556525488943
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,8,0.7,0.0049347991270014,6484.5597918884905,1.1408805314746635
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,8,0.8,0.0036465381929237,8775.446274523327,1.5439345354065774
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,32,spec,8,0.9,0.0025768966027369,12418.038025279113,2.184804871392362
batch_ratio,gpt3_6.7b->gpt3_30b,kv_buffer,gpt3_6.7b,gpt3_30b,2048,64,baseline,0,0.0,0.0041296445978673,15497.701674631056,1.0
