experiment,arch,ctx,gamma,alpha,draft,target,bits,base_E,base_L,spec_E,spec_L,round_E,round_L,yield,latency_speedup,energy_ratio
scheduler,kv_buffer,512,3,0.35,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1830352313534765,0.0026256523663998,0.2773670137122744,0.0039788479547331,1.515375,1.1320305161156226,1.1101242985742594
scheduler,kv_buffer,512,3,0.4,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1707924961282478,0.0024500295287765,0.2773670137122744,0.0039788479547331,1.624,1.2131766448382555,1.0358710646255962
scheduler,kv_buffer,512,3,0.45,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1590749236288046,0.0022819401848064,0.2773670137122744,0.0039788479547331,1.7436249999999998,1.3025401030517874,0.964802987426751
scheduler,kv_buffer,512,3,0.5,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1479290739798797,0.0021220522425243,0.2773670137122744,0.0039788479547331,1.875,1.4006811632215077,0.8972024581077164
scheduler,kv_buffer,512,3,0.55,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1373869178192183,0.0019708243228199,0.2773670137122744,0.0039788479547331,2.018875,1.5081600978127048,0.8332633813148256
scheduler,kv_buffer,512,3,0.6,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.127466458507479,0.0018285146850795,0.2773670137122744,0.0039788479547331,2.176,1.6255371792906672,0.7730949489668972
scheduler,kv_buffer,512,3,0.65,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1181730899343982,0.0016952007050042,0.2773670137122744,0.0039788479547331,2.347125,1.7533726801206833,0.7167298754655029
scheduler,kv_buffer,512,3,0.7,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1095013871742102,0.001570804561679,0.2773670137122744,0.0039788479547331,2.5329999999999995,1.8922268727680416,0.6641352581729052
scheduler,kv_buffer,512,3,0.75,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1014370793004889,0.0014551215377309,0.2773670137122744,0.0039788479547331,2.734375,2.042660029698032,0.6152245427024341
scheduler,kv_buffer,512,3,0.8,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0939590154851878,0.001347848223148,0.2773670137122744,0.0039788479547331,2.9520000000000004,2.205232423375942,0.569869447476954
scheduler,kv_buffer,512,3,0.85,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0870409959478364,0.0012486087803657,0.2773670137122744,0.0039788479547331,3.1866250000000003,2.38050432626706,0.5279110685919957
scheduler,kv_buffer,512,3,0.9,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0806533915999634,0.0011569781781718,0.2773670137122744,0.0039788479547331,3.4390000000000005,2.569036010836675,0.4891697030974028
scheduler,kv_buffer,512,3,0.95,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0747645173253208,0.0010725018915012,0.2773670137122744,0.0039788479547331,3.709875,2.771387749550075,0.4534531780590906
scheduler,kv_buffer,512,4,0.2,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2158079656283963,0.0034528240115471,0.269673633849244,0.0043146488848293,1.2496,0.8608369825787707,1.3088937288105924
scheduler,kv_buffer,512,4,0.25,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2024529333296377,0.0032391498959422,0.269673633849244,0.0043146488848293,1.33203125,0.917623048936162,1.2278943181863913
scheduler,kv_buffer,512,4,0.3,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1892313759380001,0.0030276113148756,0.269673633849244,0.0043146488848293,1.4251,0.981737182996964,1.1477044442647648
scheduler,kv_buffer,512,4,0.35,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1762133676489071,0.002819329421887,0.269673633849244,0.0043146488848293,1.53038125,1.054264386559801,1.0687491130211615
scheduler,kv_buffer,512,4,0.4,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1634781970473109,0.002615572796332,0.269673633849244,0.0043146488848293,1.6496,1.136392994927929,0.9915092164898864
scheduler,kv_buffer,512,4,0.45,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1511088824928085,0.0024176696921727,0.269673633849244,0.0043146488848293,1.78463125,1.229414676909235,0.916488268106768
scheduler,kv_buffer,512,4,0.5,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1391863916641259,0.0022269155534603,0.269673633849244,0.0043146488848293,1.9375,1.3347244348162357,0.8441773437531439
scheduler,kv_buffer,512,4,0.55,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1277843204156803,0.0020444878785903,0.269673633849244,0.0043146488848293,2.11038125,1.4538206044660806,0.7750228085668012
scheduler,kv_buffer,512,4,0.6,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1169646225924896,0.0018713778993881,0.269673633849244,0.0043146488848293,2.3056,1.5883048551805488,0.7094004179049777
scheduler,kv_buffer,512,4,0.65,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1067747454618499,0.0017083447493886,0.269673633849244,0.0043146488848293,2.52563125,1.7398821897860506,0.6475979434930244
scheduler,kv_buffer,512,4,0.7,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0972462709059334,0.001555893723569,0.269673633849244,0.0043146488848293,2.7731,1.910360944613628,0.5898069321415443
scheduler,kv_buffer,512,4,0.75,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0883949427213911,0.0014142767151297,0.269673633849244,0.0043146488848293,3.05078125,2.101652789498952,0.5361228713208187
scheduler,kv_buffer,512,4,0.8,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0802218092126499,0.001283510496439,0.269673633849244,0.0043146488848293,3.3616,2.315772727782327,0.48655211908666
scheduler,kv_buffer,512,4,0.85,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0727151381926267,0.0011634073581268,0.269673633849244,0.0043146488848293,3.70863125,2.5548390963086867,0.4410235187231722
scheduler,kv_buffer,512,4,0.9,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0658527591143669,0.0010536125820686,0.269673633849244,0.0043146488848293,4.0951,2.821073565427596,0.3994026039710181
scheduler,kv_buffer,512,4,0.95,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0596045335147748,0.0009536439673003,0.269673633849244,0.0043146488848293,4.52438125,3.1168011389932517,0.3615065824794752
