study,setting,arch,ctx,gamma,alpha,draft,target,bits,base_E,base_L,spec_E,spec_L,round_E,round_L,yield,latency_speedup,energy_ratio
kv_org,baseline,baseline,512,6,0.25,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.2425630063364475,0.0037399492806403,0.3233976019539404,0.0049862946830021,1.333251953125,0.7947483723541027,1.4682041074552308
kv_org,baseline,baseline,512,6,0.3,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.2264278411366148,0.003491169796936,0.3233976019539404,0.0049862946830021,1.4282590000000002,0.8513818508868712,1.3705399327788823
kv_org,baseline,baseline,512,6,0.35,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.2103437749759011,0.00324317818199,0.3233976019539404,0.0049862946830021,1.5374717031249998,0.9164832878999905,1.273185054314906
kv_org,baseline,baseline,512,6,0.4,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1943569956740766,0.0029966865810957,0.3233976019539404,0.0049862946830021,1.663936,0.991868359616356,1.1764190412677134
kv_org,baseline,baseline,512,6,0.45,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1785358148777532,0.0027527482550015,0.3233976019539404,0.0049862946830021,1.811387828125,1.079764049645766,1.0806553756503172
kv_org,baseline,baseline,512,6,0.5,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1629720198823006,0.0025127784229302,0.3233976019539404,0.0049862946830021,1.984375,1.1828812983875017,0.9864496346964832
kv_org,baseline,baseline,512,6,0.55,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1477787567408167,0.0022785216233679,0.3233976019539404,0.0049862946830021,2.188390328125,1.3044943585316038,0.8944866775791303
kv_org,baseline,baseline,512,6,0.6,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.13308455662594,0.0020519596097318,0.3233976019539404,0.0049862946830021,2.430016,1.4485268566588492,0.8055444877115352
kv_org,baseline,baseline,512,6,0.65,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1190239878108781,0.0018351672182641,0.3233976019539404,0.0049862946830021,2.7170792031250004,1.6196445609394288,0.720437590335779
kv_org,baseline,baseline,512,6,0.7,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1057262956565721,0.0016301372140692,0.3233976019539404,0.0049862946830021,3.058819,1.823354854930323,0.6399482917592816
kv_org,baseline,baseline,512,6,0.75,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0933039781364612,0.0014386041432398,0.3233976019539404,0.0049862946830021,3.466064453125,2.0661129174713784,0.5647575284083268
kv_org,baseline,baseline,512,6,0.8,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0818433055915893,0.0012618981620302,0.3233976019539404,0.0049862946830021,3.951424,2.3554346086800813,0.4953874840692453
kv_org,baseline,baseline,512,6,0.85,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0713982991394494,0.0011008521931623,0.3233976019539404,0.0049862946830021,4.529486078124999,2.7000160620450333,0.4321651419361783
kv_org,baseline,baseline,512,6,0.9,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0619888212191839,0.0009557724849636,0.3233976019539404,0.0049862946830021,5.217031,3.109859982618127,0.3752107269155261
kv_org,baseline,baseline,512,6,0.95,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0536025166131317,0.00082646853894,0.3233976019539404,0.0049862946830021,6.033254078125,3.5964086513054188,0.3244494543911495
