experiment,arch,ctx,Ld,Lt,method,config,tau,L_per_tok,E_per_tok,latency_speedup,energy_ratio,alpha,tree_depth,tree_nodes,tree_layer_counts
eagle,kv_buffer,2048,32,96,vanilla,g4,1.2496,0.2699930077700334,17.254037212809166,1.0790534563289123,1.0695477831956566,0.2,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,1.33203125,0.2532847953150001,16.186290600259067,1.1502344144131091,1.003360026186542,0.25,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,1.4251,0.2367435706332424,15.12921542426941,1.2306010568296517,0.9378337729852589,0.3,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,1.53038125,0.22045700214206998,14.088414178575654,1.3215134261471357,0.8733163124425971,0.35,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,1.6496,0.20452428619631047,13.070226055483957,1.424461092797834,0.8102006000735285,0.4,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,1.78463125,0.1890492853968761,12.081288446073291,1.5410631550776943,0.7488980762167492,0.45,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,1.9375,0.17413329677906259,11.128074787678107,1.6730682391463405,0.6898100180032477,0.5,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,2.11038125,0.15986839463695657,10.216469133776815,1.8223544990270728,0.633301167682992,0.55,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,2.3056,0.14633208818070512,9.351424748927105,1.9909296166068662,0.5796785695182566,0.6,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,2.52563125,0.1335837377326693,8.536735084001805,2.1809308016363724,0.5291773729364856,0.65,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,2.7731,0.1216628547507965,7.774925138338443,2.3946247917299184,0.481954098258733,0.7,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,3.05078125,0.11058913598260568,7.067253642366635,2.634407852365508,0.4380867719969409,0.75,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,3.3616,0.10036389294069303,6.413804408950004,2.9028057768848203,0.3975805895648776,0.8,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,3.7086312500000003,0.09097244772163145,5.813639439382476,3.2024738864932094,0.36037740605278357,0.85,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,4.0951,0.08238706319978358,5.264986178878741,3.536197030259706,0.32636734386981814,0.9,,,
eagle,kv_buffer,2048,32,96,vanilla,g4,4.52438125,0.07457003374979368,4.765435030729635,3.9068895851170167,0.29540103630331604,0.95,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,1.249984,0.2884923235997606,20.18520687191118,1.0098601050580436,1.251245896651418,0.2,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,1.333251953125,0.2704745999263605,18.924544282451507,1.0771321532528852,1.1730996134781497,0.25,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,1.4282590000000002,0.252482770017569,17.665693425757528,1.1538881968009962,1.0950656364706441,0.3,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,1.5374717031249998,0.23454791908661535,16.41082926943968,1.2421209676616514,1.0172787880914684,0.35,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,1.663936,0.21672154976064173,15.163555345024701,1.3442912739441952,0.9399624449978399,0.4,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,1.8113878281249998,0.19907983427038808,13.929201264809357,1.4634173736713219,0.8634469805943705,0.45,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,1.984375,0.18172512182552347,12.714928189772106,1.6031734373996431,0.7881763028056319,0.5,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,2.188390328125,0.164783578134113,11.529563671667729,1.7679970996975314,0.7146976162246081,0.55,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,2.430016,0.14839852438112472,10.383135595230247,1.963206099480255,0.6436325319997588,0.6,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,2.7170792031250004,0.13272001353798338,9.286142854267856,2.1951240092023885,0.5756318583135435,0.65,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,3.0588189999999997,0.11789216315922034,8.248669053833858,2.471215052907509,0.5113206603201843,0.7,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,3.466064453125,0.10404041629906705,7.279491183099787,2.8002280131351784,0.45124300832599673,0.75,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,3.9514240000000003,0.09126097037992459,6.385339975304857,3.192349226685202,0.39581612878798267,0.8,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,4.529486078124999,0.07961406269997845,5.570430108711932,3.659364669239172,0.34530128228749646,0.85,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,5.2170309999999995,0.06912184125847119,4.836311232687524,4.214831128839305,0.29979452889582714,0.9,,,
eagle,kv_buffer,2048,32,96,vanilla,g6,6.033254078125,0.059770529129546106,4.182019404430637,4.87425646822454,0.2592361154738561,0.95,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,1.24999936,0.30697875844550965,19.619950082943156,0.9490457570881315,1.2162066105921399,0.2,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,1.3333282470703125,0.2877935365380781,18.393763951824216,1.01231213085408,1.1401974631591028,0.25,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,1.42854331,0.2686115631947355,17.16778544635856,1.0846029290544081,1.0642011860795062,0.3,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,1.5383402836328124,0.24943977328885497,15.942457795485229,1.1679648533095839,0.9882452543450493,0.35,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,1.66622976,0.23029432122883317,14.718813476786591,1.2650632749619775,0.9123936694468499,0.4,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,1.8168060351953124,0.21120760508109504,13.498923149643975,1.3793863535691908,0.8367747879616172,0.45,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,1.99609375,0.19223708885941934,12.286459514695082,1.5155082192903186,0.761616274219557,0.5,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,2.2119880742578126,0.17347437631155949,11.087277247251762,1.6794231771478063,0.6872810493691451,0.55,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,2.4748057599999997,0.15505186620807027,9.909838357136719,1.8789640869458275,0.6142936586942258,0.6,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,2.7979659633203124,0.13714364528406264,8.765269259318456,2.1243192684243852,0.5433438093234961,0.65,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,3.1988213099999996,0.11995770141673892,7.666863094303599,2.4286634770265794,0.4752555199364807,0.7,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,3.6996612548828125,0.1037184826270361,6.628965020660444,2.808919691454791,0.41091802198417715,0.75,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,4.32891136,0.08864197477826886,5.665379354616974,3.286669649989752,0.351187021040769,0.8,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,5.1225536914453125,0.07490858558130901,4.787636504009245,3.8892322683447778,0.2967772670507643,0.85,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,6.12579511,0.06264056252290841,4.003549679106209,4.650930267625677,0.24817308734113763,0.9,,,
eagle,kv_buffer,2048,32,96,vanilla,g8,7.395011805507812,0.05188947113034818,3.3164145902572733,5.614566536765134,0.2055787772692472,0.95,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,1.2499999743999999,0.3254703407323091,20.61811285343751,0.8951257664934525,1.278080986153247,0.2,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,1.3333330154418945,0.3051285109358153,19.32948501273825,0.9548006095050783,1.1982011856529382,0.25,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,1.4285688979,0.28478704680005174,18.04088033615953,1.0229990847281767,1.1183228210562077,0.3,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,1.5384466847450193,0.2644471996446042,16.75237809313147,1.1016826368758177,1.0384508061372764,0.35,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,1.6665967616,0.24411298939088594,15.464232940324704,1.193450987372041,0.9586009266206206,0.4,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,1.8179032221270506,0.2237951463155019,14.177124626479145,1.3018016387548124,0.8788153189493777,0.45,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,1.9990234375,0.2035183329776971,12.89261549189475,1.4315019387016108,0.7991908298837469,0.5,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,2.2191263924629885,0.18333246766165487,11.613867793428554,1.5891178029445587,0.7199234822310063,0.55,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,2.4909300736,0.1633277151756275,10.346593351665412,1.7837565896615688,0.6413673418233548,0.6,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,2.832140619502832,0.14365032399230374,9.100056812679538,2.0280976758152116,0.5640967079710668,0.65,,,
